key,gi,source,note
토마토,15,국제 GI 데이터베이스 통용값(토마토는 여러 문헌에서 15 전후로 매우 낮게 일관됨),PDF 미확인 — 'Tomato' 재검색 결과 순수 토마토 실측치 없음(토마토주스·소스 조합 4건뿐)
브로콜리,15,국제 GI 데이터베이스 통용값(브로콜리는 여러 문헌에서 15 전후로 매우 낮게 일관됨),PDF 미확인 — 'Broccoli' 재검색 결과 0건
도토리묵,35,국내 영양 문헌 통용값(묵류는 노화된 전분 구조로 GI가 낮다고 알려짐),PDF 미확인 — 'Acorn' 재검색 결과 0건. 확신도 낮음
메밀묵,35,국내 영양 문헌 통용값(묵류는 노화된 전분 구조로 GI가 낮다고 알려짐),"PDF 미확인 — 'Buckwheat' 재검색 결과 메밀국수 실측치(59, 이미 사용)만 있고 묵(전분젤리) 형태 실측치는 없음. 확신도 낮음"
청포묵,30,국내 영양 문헌 통용값(녹두전분은 당면과 같은 원리로 GI가 특히 낮다고 알려짐),PDF 미확인 — 'Mung bean' 재검색 결과 볶은/발아/압력조리 녹두 3건(25~53) 발견했으나 전분만 추출한 묵(청포묵)과는 식품 형태가 달라(단백질·섬유 구성비가 다름) 채택하지 않음. 확신도 낮음
식혜,85,국제 GI 데이터베이스 통용값(엿기름으로 당화한 쌀 음료는 액상+맥아당 특성상 높은 GI로 추정),PDF 미확인 — 'Rice drink'/'Malt' 재검색 결과 없음. 확신도가 낮으나 '부드러운 음료라 안전하다'는 오해를 막기 위해 보수적으로(높게) 채움
우엉,50,국제 GI 데이터베이스 통용값(우엉/식이섬유가 많은 뿌리채소는 이눌린 함량으로 대체로 40~50대로 보고),PDF 미확인 — 'Burdock' 재검색 결과 0건. 확신도 낮음
연근,38,국제 GI 데이터베이스 통용값(연근은 아시아권 문헌에서 30대 후반으로 보고되는 경우가 많음),"PDF 미확인 — 'Lotus' 재검색 결과 연근(root) 실측치는 없음('lotus leaf'로 감싼 찹쌀 요리 1건뿐, 무관). 확신도 낮음"
찹쌀떡,48,"p134 Glutinous rice ball with cut glutinous cake (mochi, Japan 2003) 2013=48±5",이 표에 한국식 떡(멥쌀 가래떡·시루떡 등) 실측치가 없어 조리법이 가장 비슷한 일본 찹쌀떡(모찌)을 대체 사용. 가래떡 등 멥쌀떡은 전분 구조가 달라 이 값을 적용하지 않음(규칙 3으로 넘어감)
리치,57,"p77 Lychee, fresh (Australia 2009) 1138=57±3","생것·얼린것 모두 같은 과일이라 대표식품명 키로 붙인다. 통조림(1139=79, 시럽)은 다른 음식이므로 이 키가 닿지 않는 편이 맞다."
복숭아_천도_생것,43,"p77 Nectarines, raw (Australia 2006) 1149=43±6","천도복숭아 = nectarine 이므로 품종이 정확히 일치한다. 백도·황도·천중도에는 붙이지 않는다 — 탄수화물이 천도 9.4g 대 백도 13.1g 으로 40% 차이가 나는 다른 과일이고, 생복숭아 GI 는 표 안에서 갈린다(Italy 2004 76±9 vs 같은 저자들 2002년 종합표 42). 갈린 값을 다른 품종에까지 퍼뜨리지 않는다."
자두 말리기,35,"p79 Prunes, pitted: USA 2000 1168=29±4 · USA 2009 1169=40±6 (2건 평균)",생자두(GI 24)와 따로 둔다 — 말리면 농도가 올라간다. 두 실측 모두 같은 제조사·같은 방법이라 평균을 쓴다.
무화과 말리기,58,"p76 Figs, dried: Turkey 2018 1129=54±6 · Australia 2002 1130=61±6 (2건 평균)",둘 다 plasma Enzymatic. 생무화과 GI 는 PDF 에 없다.
복숭아_백도_생것,56.5,"유지현 등. 우리나라 다빈도 섭취 과일의 당 함량 및 혈당지수에 관한 연구. 한국영양학회지 2012;45(2):192-200. 복숭아=옥천 백도, GI 56.5±14.17","국제 표(gi_table1.pdf)에는 백도 실측이 없다 — 생복숭아는 천도(nectarine) 43 과 Italy 2004 76 둘뿐이고 품종 구분이 없다. 이 논문은 옥천 백도를 직접 측정했고 한국인 13명(남6·여7, 평균 34.7세)에 포도당 50g 기준이다. [한계] 채혈 시점이 0·30·60·90·120분으로 ISO 26642 가 요구하는 15·45분이 빠져 있어 국제 표 Table 1 에는 실리지 못한다. 그래도 이 품종의 유일한 실측이고 한국인 대상이라 채택한다. 표준편차가 ±14.17 로 큰 점은 감안할 것. 천도복숭아(43)와 따로 두는 이유는 species_split.csv 참고."
감 연시,61,p78 Persimmon (Diospyros kaki)19 Italy 2004 1163=61±8,연시·대봉은 떫은감을 물러지게 해서 먹는 것이라 이탈리아 감(물러야 먹는 계열)과 같은 상태다. 단감을 잰 한국 논문 값(42.9)을 여기에 쓰면 안 된다 — 탄수화물도 단감보다 20~30% 높다. 표에서 감을 물러진 상태로 잰 유일한 실측이 이 값이다.
감_대봉(갑주백목)_생것,61,p78 Persimmon (Diospyros kaki)19 Italy 2004 1163=61±8,연시·대봉은 떫은감을 물러지게 해서 먹는 것이라 이탈리아 감(물러야 먹는 계열)과 같은 상태다. 단감을 잰 한국 논문 값(42.9)을 여기에 쓰면 안 된다 — 탄수화물도 단감보다 20~30% 높다. 표에서 감을 물러진 상태로 잰 유일한 실측이 이 값이다. 대봉은 레코드가 하나뿐이라 단독그룹이 해제돼 group 이 비므로 그룹 키가 닿지 않는다. 원본 이름을 키로 쓴다.
